Year Month;Region;Account Description;Product;Size;Size Numeric;Strength;WHO ATC 5 Code;Volume;Value;
201110;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;5;135373,1;
201111;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;3;81223,86;
201112;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;2;54149,24;
201201;Midtjylland;0060 Århus Løve apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;1;27074,62;
201201;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;2;54149,24;
201202;Midtjylland;0060 Århus Løve apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;1;27074,62;
201202;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;4;108298,48;
201203;Midtjylland;0060 Århus Løve apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;2;54149,24;
201203;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;4;108298,48;
201205;Midtjylland;0060 Århus Løve apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;1;27074,62;
201205;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;27074,62;
201206;Midtjylland;0060 Århus Løve apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;4;108298,48;
201206;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;5;135373,1;
201208;Midtjylland;0060 Århus Løve apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;1;27074,62;
201208;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;5;135373,1;
201209;Midtjylland;0060 Århus Løve apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;1;27074,62;
201209;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;2;54149,24;
201210;Midtjylland;0060 Århus Løve apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;1;27074,62;
201210;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;27074,62;
201211;Midtjylland;0060 Århus Løve apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;3;81223,86;
201211;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;27074,62;
201212;Midtjylland;0060 Århus Løve apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;3;81223,86;
201212;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;3;81223,86;
201301;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;2;54149,24;
201302;Midtjylland;0060 Århus Løve apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;2;54149,24;
201302;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;2;54149,24;
201303;Midtjylland;0060 Århus Løve apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;1;27074,62;
201303;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;2;54149,24;
201304;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;3;81223,86;
201305;Midtjylland;0060 Århus Løve apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;5;131988,75;
201306;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;6;158386,5;
201307;Midtjylland;0060 Århus Løve apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;1;26397,75;
201308;Midtjylland;0060 Århus Løve apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;2;52795,5;
201309;Midtjylland;0060 Århus Løve apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;1;26397,75;
201309;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;3;79193,25;
201311;Midtjylland;0060 Århus Løve apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;4;105591;
201311;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;3;79193,25;
201312;Midtjylland;0060 Århus Løve apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;2;52795,5;
201312;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;2;52795,5;
201401;Midtjylland;0060 Århus Løve apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;-1;-26397,75;
201401;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;26397,75;
201402;Midtjylland;0060 Århus Løve apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;5;131988,75;
201402;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;26397,75;
201403;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;2;52795,5;
201404;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;25737,81;
201405;Midtjylland;0060 Århus Løve apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;1;25737,81;
201405;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;3;77213,43;
201406;Midtjylland;0060 Århus Løve apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;1;25737,81;
201406;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;2;51475,62;
201407;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;25737,81;
201408;Midtjylland;0060 Århus Løve apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;4;102951,24;
201408;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;25737,81;
201409;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;2;51475,62;
201410;Midtjylland;0060 Århus Løve apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;1;25737,81;
201410;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;25737,81;
201411;Midtjylland;0060 Århus Løve apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;1;25737,81;
201411;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;5;128689,05;
201412;Midtjylland;0060 Århus Løve apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;1;25737,81;
201501;Midtjylland;0060 Århus Løve apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;1;25737,81;
201501;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;25737,81;
201501;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml)(EuroPharmaDK);1;45 mg;L04AC05;1;24995;
201502;Midtjylland;0060 Århus Løve apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;2;51475,62;
201502;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;25737,81;
201502;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml)(EuroPharmaDK);1;45 mg;L04AC05;1;24995;
201503;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;2;51475,62;
201504;Midtjylland;0060 Århus Løve apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;1;25737,81;
201504;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;4;102951,24;
201505;Midtjylland;0060 Århus Løve apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;1;25737,81;
201505;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;2;51475,62;
201507;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;25737,81;
201508;Midtjylland;0060 Århus Løve apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;2;51475,62;
201508;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;2;51475,62;
201509;Midtjylland;0060 Århus Løve apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;1;25737,81;
201510;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;3;77213,43;
201511;Midtjylland;0060 Århus Løve apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;1;25737,81;
201511;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;4;102951,24;
201512;Midtjylland;0060 Århus Løve apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;2;51475,62;
201512;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;25737,81;
201601;Midtjylland;0060 Århus Løve apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;1;25737,81;
201601;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;2;51475,62;
201602;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;2;51475,62;
201603;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;5;128689,05;
201604;Midtjylland;0060 Århus Løve apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;2;51475,62;
201604;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;4;102951,24;
201605;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;5;126115,25;
201606;Midtjylland;0060 Århus Løve apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;1;25094,36;
201606;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;3;75283,08;
201608;Midtjylland;0060 Århus Løve apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;1;25094,36;
201608;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;6;150566,16;
201609;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;3;75283,08;
201610;Midtjylland;0060 Århus Løve apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;3;75283,08;
201610;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;3;75283,08;
201611;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;2;50188,72;
201612;Midtjylland;0060 Århus Løve apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;1;25094,36;
201612;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;3;75283,08;
201701;Midtjylland;0060 Århus Løve apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;2;50188,72;
201701;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;25094,36;
201702;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;3;75283,08;
201703;Midtjylland;0060 Århus Løve apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;2;50188,72;
201703;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;2;50188,72;
201704;Midtjylland;0060 Århus Løve apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;1;24467;
201704;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;4;98495,36;
201705;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;2;48934;
201706;Midtjylland;0060 Århus Løve apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;2;48934;
201706;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;4;97868;
201707;Midtjylland;0060 Århus Løve apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;2;48934;
201707;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;24467;
201708;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;3;73401;
201709;Midtjylland;0060 Århus Løve apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;2;48934;
201709;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;2;48934;
201710;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;3;73401;
201711;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;3;73401;
201801;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;2;48934;
201802;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;24467;
201804;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;23855,33;
201806;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;23855,33;
201808;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;23855,33;
201809;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;23855,33;
201811;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;23855,33;
201812;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;23855,33;
201902;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;23258,95;
201903;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;23258,95;
201905;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;23258,95;
201906;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;23258,95;
201908;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;23258,95;
201909;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;23258,95;
201912;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;22677,47;
202003;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;22677,47;
202006;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;22677,47;
201702;Sjælland;0070 Sorø apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;1;25094,36;
201705;Sjælland;0070 Sorø apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;1;24467;
201707;Sjælland;0070 Sorø apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;1;24467;
201710;Sjælland;0070 Sorø apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;1;24467;
201802;Sjælland;0070 Sorø apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;1;24467;
201805;Sjælland;0070 Sorø apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;1;23855,33;
201809;Sjælland;0070 Sorø apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;2;47710,66;
201903;Sjælland;0070 Sorø apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;2;46517,9;
201908;Sjælland;0070 Sorø apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;2;46517,9;
202003;Sjælland;0070 Sorø apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;1;22677,47;
201109;Syddanmark;0080 Ribe apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;1;27074,62;
201110;Syddanmark;0080 Ribe apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;1;27074,62;
201112;Syddanmark;0080 Ribe apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;1;27074,62;
201203;Syddanmark;0080 Ribe apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;1;27074,62;
201206;Syddanmark;0080 Ribe apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;27074,62;
201209;Syddanmark;0080 Ribe apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;1;27074,62;
201209;Syddanmark;0080 Ribe apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;27074,62;
201212;Syddanmark;0080 Ribe apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;1;27074,62;
201212;Syddanmark;0080 Ribe apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;27074,62;
201301;Syddanmark;0080 Ribe apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;27074,62;
201304;Syddanmark;0080 Ribe apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;1;27074,62;
201304;Syddanmark;0080 Ribe apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;27074,62;
201311;Syddanmark;0080 Ribe apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;26397,75;
201401;Syddanmark;0080 Ribe apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;26397,75;
201402;Syddanmark;0080 Ribe apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;2;52795,5;
201405;Syddanmark;0080 Ribe apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;25737,81;
201406;Syddanmark;0080 Ribe apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;25737,81;
201408;Syddanmark;0080 Ribe apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;25737,81;
201411;Syddanmark;0080 Ribe apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;25737,81;
201502;Syddanmark;0080 Ribe apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;25737,81;
201506;Syddanmark;0080 Ribe apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;25737,81;
201509;Syddanmark;0080 Ribe apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;25737,81;
201512;Syddanmark;0080 Ribe apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;25737,81;
201603;Syddanmark;0080 Ribe apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;25737,81;
201606;Syddanmark;0080 Ribe apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;25094,36;
201609;Syddanmark;0080 Ribe apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;25094,36;
201611;Syddanmark;0080 Ribe apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;25094,36;
201703;Syddanmark;0080 Ribe apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;25094,36;
201705;Syddanmark;0080 Ribe apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;24467;
201709;Syddanmark;0080 Ribe apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;24467;
201712;Syddanmark;0080 Ribe apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;24467;
201802;Syddanmark;0080 Ribe apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;24467;
201806;Syddanmark;0080 Ribe apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;23855,33;
201809;Syddanmark;0080 Ribe apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;23855,33;
201812;Syddanmark;0080 Ribe apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;23855,33;
201903;Syddanmark;0080 Ribe apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;23258,95;
201906;Syddanmark;0080 Ribe apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;23258,95;
201909;Syddanmark;0080 Ribe apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;23258,95;
201912;Syddanmark;0080 Ribe apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;22677,47;
202003;Syddanmark;0080 Ribe apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;22677,47;
202006;Syddanmark;0080 Ribe apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;22677,47;
201702;Midtjylland;0111 Kristrup Løve Apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;25094,36;
201706;Midtjylland;0111 Kristrup Løve Apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;24467;
201709;Midtjylland;0111 Kristrup Løve Apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;24467;
201712;Midtjylland;0111 Kristrup Løve Apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;2;48934;
201812;Midtjylland;0111 Kristrup Løve Apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;-1;-23855,33;
201210;Sjælland;0120 Næstved Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;27074,62;
201211;Sjælland;0120 Næstved Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;27074,62;
201302;Sjælland;0120 Næstved Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;27074,62;
201304;Sjælland;0120 Næstved Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;27074,62;
201306;Sjælland;0120 Næstved Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;26397,75;
